Review,Liked,topic,topic_label
I could care less... The interior is just beautiful.,1,15,Environment
The worst was the salmon sashimi.,0,12,Environment
The shrimp tender and moist.,1,12,Environment
Not much seafood and like 5 strings of pasta at the bottom.,0,12,Environment
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,12,Environment
Kind of hard to mess up a steak but they did.,0,13,Environment
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,13,Environment
The bathrooms are clean and the place itself is well decorated.,1,15,Environment
Interesting decor.,1,15,Environment
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,15,Environment
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,12,Environment
The seafood was fresh and generous in portion.,1,12,Environment
I didn't know pulled pork could be soooo delicious.,1,13,Environment
"You get incredibly fresh fish, prepared with care.",1,12,Environment
Please stay away from the shrimp stir fried noodles.,0,12,Environment
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,15,Environment
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,13,Environment
Best fish I've ever had in my life!,1,12,Environment
(The bathroom is just next door and very nice.),1,15,Environment
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,13,Environment
The inside is really quite nice and very clean.,1,15,Environment
The one down note is the ventilation could use some upgrading.,0,15,Environment
The steaks are all well trimmed and also perfectly cooked.,1,13,Environment
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,12,Environment
"This was my first crawfish experience, and it was delicious!",1,12,Environment
"Great steak, great sides, great wine, amazing desserts.",1,13,Environment
The steak and the shrimp are in my opinion the best entrees at GC.,1,13,Environment
The yellowtail carpaccio was melt in your mouth fresh.,1,12,Environment
Their steaks are 100% recommended!,1,13,Environment
Damn good steak.,1,13,Environment
"The decor is nice, and the piano music soundtrack is pleasant.",1,15,Environment
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,13,Environment
I wasn't really impressed with Strip Steak.,0,13,Environment
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,12,Environment
I love the decor with the Chinese calligraphy wall paper.,1,15,Environment
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,15,Environment
Once you get inside you'll be impressed with the place.,1,15,Environment
We could not believe how dirty the oysters were!,0,12,Environment
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,13,Environment
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,13,Environment
"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",0,15,Environment
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,12,Environment
