Review,Liked,topic,topic_label
Wow... Loved this place.,1,3,Overall Experience
Would not go back.,0,2,Overall Experience
"This place is not worth your time, let alone Vegas.",0,8,Overall Experience
did not like at all.,0,4,Overall Experience
So they performed.,1,4,Overall Experience
This was like the final blow!,0,4,Overall Experience
I found this place by accident and I could not be happier.,1,3,Overall Experience
"Overall, I like this place a lot.",1,3,Overall Experience
My first visit to Hiro was a delight!,1,3,Overall Experience
There is not a deal good enough that would drag me into that establishment again.,0,10,Overall Experience
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,8,Overall Experience
We'd definitely go back here again.,1,2,Overall Experience
We are so glad we found this place.,1,3,Overall Experience
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,3,Overall Experience
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,8,Overall Experience
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,2,Overall Experience
This place has it!,1,3,Overall Experience
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,8,Overall Experience
Best breakfast buffet!!!,1,8,Overall Experience
We'll never go again.,0,2,Overall Experience
Will be back again!,1,2,Overall Experience
It was not good.,0,4,Overall Experience
"Best Buffet in town, for the price you cannot beat it.",1,8,Overall Experience
This is one of the better buffets that I have been to.,1,8,Overall Experience
Will go back next trip out.,1,2,Overall Experience
Sooooo good!!,1,4,Overall Experience
"REAL sushi lovers, let's be honest - Yama is not that good.",0,16,Overall Experience
Good prices.,1,10,Overall Experience
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,3,Overall Experience
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,16,Overall Experience
I wouldn't return.,0,2,Overall Experience
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,8,Overall Experience
This is one of the best bars with food in Vegas.,1,8,Overall Experience
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,8,Overall Experience
Don't do it!!!!,0,2,Overall Experience
this place is good.,1,3,Overall Experience
I came back today since they relocated and still not impressed.,0,3,Overall Experience
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,8,Overall Experience
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,2,Overall Experience
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,3,Overall Experience
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,3,Overall Experience
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,3,Overall Experience
The WORST EXPERIENCE EVER.,0,4,Overall Experience
Must have been an off night at this place.,0,4,Overall Experience
Won't go back.,0,2,Overall Experience
Which are small and not worth the price.,0,10,Overall Experience
This is an unbelievable BARGAIN!,1,10,Overall Experience
This wonderful experience made this place a must-stop whenever we are in town again.,1,3,Overall Experience
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,3,Overall Experience
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,2,Overall Experience
Horrible - don't waste your time and money.,0,4,Overall Experience
