Review,Liked,topic,topic_label
Not tasty and the texture was just nasty.,0,0,Food & Taste
The selection on the menu was great and so were the prices.,1,1,Food & Taste
Honeslty it didn't taste THAT fresh.),0,0,Food & Taste
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,0,Food & Taste
The fries were great too.,1,0,Food & Taste
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,14,Food & Taste
I was disgusted because I was pretty sure that was human hair.,0,0,Food & Taste
That's right....the red velvet cake.....ohhh this stuff is so good.,1,0,Food & Taste
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,6,Food & Taste
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,1,Food & Taste
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,1,Food & Taste
Ample portions and good prices.,1,1,Food & Taste
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,0,Food & Taste
"Frozen pucks of disgust, with some of the worst people behind the register.",0,0,Food & Taste
"The burger is good beef, cooked just right.",1,0,Food & Taste
He came running after us when he realized my husband had left his sunglasses on the table.,1,6,Food & Taste
Their chow mein is so good!,1,1,Food & Taste
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,1,Food & Taste
"The ripped banana was not only ripped, but petrified and tasteless.",0,0,Food & Taste
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,6,Food & Taste
"Great food and service, huge portions and they give a military discount.",1,1,Food & Taste
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,6,Food & Taste
The sweet potato fries were very good and seasoned well.,1,0,Food & Taste
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,0,Food & Taste
The turkey and roast beef were bland.,0,0,Food & Taste
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,0,Food & Taste
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,14,Food & Taste
Everything was fresh and delicious!,1,0,Food & Taste
Food arrived quickly!,1,6,Food & Taste
"On the up side, their cafe serves really good food.",1,1,Food & Taste
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,6,Food & Taste
It was pretty gross!,0,0,Food & Taste
I've had better atmosphere.,0,1,Food & Taste
"Phenomenal food, service and ambiance.",1,1,Food & Taste
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,1,Food & Taste
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,14,Food & Taste
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,6,Food & Taste
We waited for forty five minutes in vain.,0,6,Food & Taste
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,0,Food & Taste
I was seated immediately.,1,6,Food & Taste
"Their menu is diverse, and reasonably priced.",1,1,Food & Taste
Restaurant is always full but never a wait.,1,6,Food & Taste
We literally sat there for 20 minutes with no one asking to take our order.,0,6,Food & Taste
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,0,Food & Taste
It was probably dirt.,0,0,Food & Taste
"The food sucked, which we expected but it sucked more than we could have imagined.",0,0,Food & Taste
What I really like there is the crepe station.,1,1,Food & Taste
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,0,Food & Taste
you can watch them preparing the delicious food!),1,1,Food & Taste
Both of the egg rolls were fantastic.,1,0,Food & Taste
The best place to go for a tasty bowl of Pho!,1,14,Food & Taste
Very good lunch spot.,1,1,Food & Taste
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,6,Food & Taste
Soggy and not good.,0,0,Food & Taste
The Jamaican mojitos are delicious.,1,1,Food & Taste
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,1,Food & Taste
"It was either too cold, not enough flavor or just bad.",0,0,Food & Taste
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,0,Food & Taste
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,0,Food & Taste
Now this dish was quite flavourful.,1,0,Food & Taste
By this time our side of the restaurant was almost empty so there was no excuse.,0,6,Food & Taste
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,1,Food & Taste
-Drinks took close to 30 minutes to come out at one point.,0,6,Food & Taste
"Seriously flavorful delights, folks.",1,0,Food & Taste
There is nothing privileged about working/eating there.,0,1,Food & Taste
The Greek dressing was very creamy and flavorful.,1,0,Food & Taste
Now the pizza itself was good the peanut sauce was very tasty.,1,17,Food & Taste
