Review,Liked,topic,topic_label
Crust is not good.,0,-1,Too Bad
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,-1,Too Bad
Now I am getting angry and I want my damn pho.,0,-1,Too Bad
A great touch.,1,-1,Too Bad
Highly recommended.,1,-1,Too Bad
The Burrittos Blah!,0,-1,Too Bad
"The food, amazing.",1,-1,Too Bad
- They never brought a salad we asked for.,0,-1,Too Bad
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,-1,Too Bad
The only redeeming quality of the restaurant was that it was very inexpensive.,1,-1,Too Bad
The only thing I did like was the prime rib and dessert section.,1,-1,Too Bad
It's too bad the food is so damn generic.,0,-1,Too Bad
If you want a sandwich just go to any Firehouse!!!!!,1,-1,Too Bad
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,-1,Too Bad
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,-1,Too Bad
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,-1,Too Bad
The portion was huge!,1,-1,Too Bad
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,-1,Too Bad
The cocktails are all handmade and delicious.,1,-1,Too Bad
Always a great time at Dos Gringos!,1,-1,Too Bad
Update.....went back for a second time and it was still just as amazing,1,-1,Too Bad
A great way to finish a great.,1,-1,Too Bad
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,-1,Too Bad
"- Really, really good rice, all the time.",1,-1,Too Bad
The scallop dish is quite appalling for value as well.,0,-1,Too Bad
Today is the second time I've been to their lunch buffet and it was pretty good.,1,-1,Too Bad
I love the Pho and the spring rolls oh so yummy you have to try.,1,-1,Too Bad
All I have to say is the food was amazing!!!,1,-1,Too Bad
Omelets are to die for!,1,-1,Too Bad
"In summary, this was a largely disappointing dining experience.",0,-1,Too Bad
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,-1,Too Bad
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,-1,Too Bad
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,-1,Too Bad
So we went to Tigerlilly and had a fantastic afternoon!,1,-1,Too Bad
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,-1,Too Bad
The ambience is wonderful and there is music playing.,1,-1,Too Bad
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,-1,Too Bad
"Nice, spicy and tender.",1,-1,Too Bad
Check it out.,1,-1,Too Bad
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,-1,Too Bad
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,-1,Too Bad
This place is way too overpriced for mediocre food.,0,-1,Too Bad
Penne vodka excellent!,1,-1,Too Bad
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,-1,Too Bad
