Review,Liked,topic,topic_label
This place receives stars for their APPETIZERS!!!,1,9,Rating
I give it 2 thumbs down,0,9,Rating
"If it were possible to give them zero stars, they'd have it.",0,9,Rating
I as well would've given godfathers zero stars if possible.,0,9,Rating
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,9,Rating
5 stars for the brick oven bread app!,1,9,Rating
He deserves 5 stars.,1,9,Rating
This place deserves one star and 90% has to do with the food.,0,9,Rating
"For service, I give them no stars.",0,9,Rating
This place is two thumbs up....way up.,1,9,Rating
If there were zero stars I would give it zero stars.,0,9,Rating
Over rated.,0,9,Rating
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,9,Rating
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,9,Rating
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,9,Rating
2 Thumbs Up!!,1,9,Rating
This place deserves no stars.,0,9,Rating
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,9,Rating
"I started this review with two stars, but I'm editing it to give it only one.",0,9,Rating
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,9,Rating
