Review,Liked,topic,topic_label
Service was very prompt.,1,5,Staff
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,7,Staff
I was shocked because no signs indicate cash only.,0,7,Staff
Waitress was a little slow in service.,0,7,Staff
Service is also cute.,1,5,Staff
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,7,Staff
Service sucks.,0,5,Staff
"On a positive note, our server was very attentive and provided great service.",1,18,Staff
The service was meh.,0,5,Staff
2 times - Very Bad Customer Service !,0,5,Staff
say bye bye to your tip lady!,0,7,Staff
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,7,Staff
"Worst service to boot, but that is the least of their worries.",0,5,Staff
Service was fine and the waitress was friendly.,1,7,Staff
"Host staff were, for lack of a better word, BITCHES!",0,11,Staff
The management is rude.,0,7,Staff
The waiter wasn't helpful or friendly and rarely checked on us.,0,7,Staff
"The menu is always changing, food quality is going down & service is extremely slow.",0,5,Staff
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,5,Staff
We watched our waiter pay a lot more attention to other tables and ignore us.,0,7,Staff
the staff is friendly and the joint is always clean.,1,11,Staff
The waitresses are very friendly.,1,7,Staff
The service here leaves a lot to be desired.,0,5,Staff
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,7,Staff
I dressed up to be treated so rudely!,0,7,Staff
I've never been more insulted or felt disrespected.,0,7,Staff
Very friendly staff.,1,11,Staff
Waitress was good though!,1,7,Staff
The service was a bit lacking.,0,5,Staff
The folks at Otto always make us feel so welcome and special.,1,11,Staff
"Everyone is very attentive, providing excellent customer service.",1,18,Staff
"(It wasn't busy either) Also, the building was FREEZING cold.",0,5,Staff
We had 7 at our table and the service was pretty fast.,1,5,Staff
Fantastic service here.,1,5,Staff
"Good service, very clean, and inexpensive, to boot!",1,5,Staff
"The service was not up to par, either.",0,5,Staff
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,11,Staff
Service stinks here!,0,5,Staff
Just don't know why they were so slow.,0,5,Staff
"The staff is great, the food is delish, and they have an incredible beer selection.",1,11,Staff
Good Service-check!,1,5,Staff
The bus boy on the other hand was so rude.,0,7,Staff
The only downside is the service.,0,5,Staff
Everyone is treated equally special.,1,11,Staff
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,11,Staff
Server did a great job handling our large rowdy table.,1,18,Staff
"The staff are great, the ambiance is great.",1,11,Staff
RUDE & INCONSIDERATE MANAGEMENT.,0,7,Staff
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,11,Staff
The service was outshining & I definitely recommend the Halibut.,1,5,Staff
Service was fantastic.,1,5,Staff
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,18,Staff
Waiter was a jerk.,0,7,Staff
"Strike 2, who wants to be rushed.",0,5,Staff
Service is quick and friendly.,1,5,Staff
"It was attached to a gas station, and that is rarely a good sign.",0,7,Staff
Waitress was sweet and funny.,1,7,Staff
The waitress and manager are so friendly.,1,7,Staff
Terrible service!,0,5,Staff
Terrible management.,0,7,Staff
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,18,Staff
"He also came back to check on us regularly, excellent service.",1,5,Staff
Our server was super nice and checked on us many times.,1,18,Staff
Service was good and the company was better!,1,5,Staff
The staff are also very friendly and efficient.,1,11,Staff
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,5,Staff
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,7,Staff
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,11,Staff
"Our waiter was very attentive, friendly, and informative.",1,7,Staff
This place has a lot of promise but fails to deliver.,0,5,Staff
The owners are super friendly and the staff is courteous.,1,11,Staff
The staff was very attentive.,1,11,Staff
Service was slow and not attentive.,0,5,Staff
Your staff spends more time talking to themselves than me.,0,11,Staff
